"year","pptLag","ppt1","TmeanSpr1","ppt2","TmeanSpr2","TmeanSum1","TmeanSum2"
1932,141.534,163.935,15.0433888888889,93.82,14.3525842293907,20.6602459677419,22.236626344086
1933,382.09,93.82,14.3525842293907,35.705,16.5312795698925,22.236626344086,20.2359166666667
1934,260.41,35.705,16.5312795698925,94.565,11.7869964157706,20.2359166666667,20.4439502688172
1935,140.43,94.565,11.7869964157706,38.195,15.6473960573477,20.4439502688172,22.9733897849462
1936,268.5,38.195,15.6473960573477,91.525,14.4517419354839,22.9733897849462,21.3991720430108
1937,154.295,91.525,14.4517419354839,148.19,13.925982078853,21.3991720430108,21.5116021505376
1938,264.28,148.19,13.925982078853,162.62,14.0881899641577,21.5116021505376,20.1026948924731
1939,285.545,162.62,14.0881899641577,153.7,13.9700376344086,20.1026948924731,22.343686827957
1940,250.965,153.7,13.9700376344086,159.82,14.5096093189964,22.343686827957,20.0869448924731
1941,359.415,159.82,14.5096093189964,204.34,12.8001594982079,20.0869448924731,18.9655739247312
1942,451.435,204.34,12.8001594982079,199.48,13.3357419354839,18.9655739247312,19.3516639784946
1943,355.16,199.48,13.3357419354839,325.195,13.3418369175627,19.3516639784946,18.2131478494624
1944,383.39,325.195,13.3418369175627,141.08,10.4110788530466,18.2131478494624,18.4466182795699
