"quad","year","totNumber"
"Q8",26,3
"Q14",32,5
"Q18",32,1
"Q8",32,3
"Q9",32,1
"Q14",33,39
"Q22",33,2
"Q24",33,20
"Q8",33,1
"Q9",33,6
"Q14",34,9
"Q18",34,27
"Q22",34,6
"Q24",34,12
"Q8",34,12
"Q9",34,4
"Q14",35,33
"Q18",35,31
"Q20",35,1
"Q22",35,9
"Q24",35,4
"Q8",35,47
"Q9",35,8
"Q14",36,8
"Q22",36,75
"Q24",36,26
"Q8",36,62
"Q9",36,7
"Q10",37,1
"Q14",37,7
"Q22",37,9
"Q24",37,3
"Q8",37,19
"Q9",37,3
"Q10",38,2
"Q14",38,7
"Q2",38,3
"Q22",38,4
"Q24",38,6
"Q8",38,14
"Q9",38,23
"Q10",39,4
"Q11",39,1
"Q14",39,7
"Q2",39,3
"Q20",39,1
"Q22",39,4
"Q24",39,4
"Q8",39,8
"Q9",39,5
"Q10",40,3
"Q14",40,4
"Q22",40,5
"Q24",40,4
"Q8",40,6
"Q9",40,6
"Q10",41,1
"Q14",41,4
"Q20",41,2
"Q22",41,4
"Q24",41,12
"Q8",41,7
"Q9",41,3
"Q10",42,1
"Q14",42,6
"Q20",42,1
"Q21",42,1
"Q22",42,5
"Q24",42,9
"Q25",42,1
"Q26",42,2
"Q8",42,8
"Q9",42,8
"Q10",45,1
"Q11",45,2
"Q14",45,13
"Q22",45,11
"Q24",45,8
"Q25",45,1
"Q8",45,5
"Q9",45,13
"Q10",46,2
"Q11",46,1
"Q14",46,11
"Q22",46,5
"Q24",46,7
"Q25",46,1
"Q8",46,8
"Q14",47,4
"Q22",47,4
"Q24",47,4
"Q25",47,1
"Q8",47,7
"Q9",47,1
"Q11",49,1
"Q22",49,4
"Q24",49,5
"Q8",49,8
"Q9",49,1
"Q11",50,1
"Q14",50,5
"Q22",50,3
"Q24",50,5
"Q25",50,1
"Q8",50,9
"Q9",50,1
"Q22",51,3
"Q24",51,5
"Q25",51,1
"Q8",51,6
"Q9",51,1
"Q11",52,5
"Q14",52,25
"Q17",52,1
"Q18",52,13
"Q22",52,7
"Q23",52,1
"Q24",52,10
"Q25",52,1
"Q8",52,7
"Q9",52,2
"Q20",54,1
"Q22",54,3
"Q24",54,6
"Q25",54,1
"Q26",54,1
"Q8",54,10
"Q9",54,3
"Q22",55,2
"Q24",55,14
"Q25",55,1
"Q8",55,11
"Q9",55,19
"Q11",56,2
"Q14",56,5
"Q17",56,12
"Q18",56,19
"Q22",56,4
"Q24",56,13
"Q25",56,1
"Q8",56,6
"Q9",56,7
"Q11",57,3
"Q14",57,6
"Q17",57,12
"Q18",57,16
"Q8",57,11
"Q9",57,5
