"","Mean","SD","Naive SE","Time-series SE"
"beta[1]",54.0740688816627,16.237508920764,0.0541250297358801,0.150925855073345
"beta[2]",53.1916425163196,13.3825453633163,0.0446084845443876,0.127196520125471
"beta[3]",59.2606212653283,16.0555082479278,0.0535183608264261,0.168554767207926
"beta[4]",53.6538305355246,14.7832910032249,0.0492776366774163,0.125965639809791
"beta[5]",47.0056234495766,15.4421974400271,0.0514739914667569,0.104360233827687
"beta[6]",50.7479524476761,16.3286878343578,0.0544289594478593,0.113909175281784
"beta[7]",55.0218527997434,14.3228168125338,0.047742722708446,0.121139618566912
"beta[8]",62.4668426636769,8.77743728631567,0.0292581242877189,0.114672045049508
"beta[9]",53.9122538120807,6.15574529506369,0.0205191509835456,0.0719119404737042
"beta[10]",42.2931397654865,4.62944556723934,0.0154314852241311,0.0542390715429651
"beta[11]",31.666132302888,4.4822450535789,0.014940816845263,0.0546500317541212
"beta[12]",48.5855275699961,6.4035232988918,0.0213450776629727,0.0700583714530191
"beta[13]",47.1856539057527,6.19637988052733,0.0206545996017578,0.0711472362303083
"intG[1]",0.15870519199532,0.195127297618103,0.000650424325393676,0.00469654762304843
"intG[2]",-0.119485314874811,0.196550538136315,0.000655168460454385,0.00421448581370511
"intG[3]",-0.047836554351327,0.19356492060671,0.000645216402022368,0.00473490648501338
"intG[4]",0.01258800485052,0.201216269646051,0.000670720898820171,0.00466207826216715
"intG[5]",-0.184722719589212,0.197425497113098,0.000658084990376993,0.0041376792058105
"intG[6]",0.19424329868038,0.204191626980755,0.000680638756602518,0.00428871025336272
"intYr[1]",-5.29842218826982,0.35329474537925,0.00117764915126417,0.00758481924962078
"intYr[2]",-5.42031560298767,0.361416918736863,0.00120472306245621,0.00757238832155377
"intYr[3]",-5.23435229017685,0.407483558674535,0.00135827852891512,0.00868527900819342
"intYr[4]",-5.3185582778688,0.42075333318172,0.00140251111060573,0.00898470318843536
"intYr[5]",-5.92554637702319,0.337594822603157,0.00112531607534386,0.00594913323554441
"intYr[6]",-5.59482698711499,0.289098742021687,0.000963662473405624,0.00592374920939979
"intYr[7]",-5.32302094445878,0.263183849737597,0.000877279499125323,0.00558782456782577
"intYr[8]",-5.21572901293184,0.261454547905186,0.000871515159683954,0.00591916553367765
"intYr[9]",-5.31437757722608,0.279781743859882,0.000932605812866272,0.0063773870790695
"intYr[10]",-4.91737425542321,0.282948744111993,0.000943162480373309,0.00585077276242134
"intYr[11]",-5.50846790294118,0.306727250720378,0.00102242416906793,0.00663173513254486
"intYr[12]",-5.5791049284388,0.373136942931409,0.00124378980977136,0.00879446468346502
"intYr[13]",-5.62848693342547,0.427574889154836,0.00142524963051612,0.010188686119133
"interceptMu",-5.40571144005675,0.225831756336248,0.000752772521120828,0.00548175837335418
"rain1",0.330212435309944,0.239328182303614,0.000797760607678714,0.00766829705397005
"rain2",0.17901967166586,0.156543521683441,0.000521811738944804,0.00348931167249082
"temp1",-0.00942120549017422,0.200995036145659,0.000669983453818864,0.00534680505149392
"temp2",0.144698502850429,0.211914218489057,0.000706380728296856,0.00643868285956891
