"year","(Intercept).yr","logage.yr","Group","GrpName","(Intercept)","logage","W1","W2","W3","W4","W5","logage:W1","logage:W2","logage:W3","logage:W4","logage:W5","alpha"
26,0.0359256015577558,-0.0492667793129917,0,"E1",0.628291178908168,0.950026438120983,-0.000152801996938254,-0.0148555104519205,0.0270173580155069,-0.0016141710304008,-0.545364723460659,-0.000112955439994580,0.0174805241002485,-0.0152316636689746,-0.00150813127838071,-0.491656554830626,0.004
29,0.00305442233425344,-0.00418869954977415,0,"P1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047
30,-0.290364205522918,0.398192615115765,0,"P10E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039
31,0.0315056692849839,-0.043205479893664,0,"P1E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018
32,0.0840407141300725,-0.115249714321308,0,"P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
33,-0.067104638016958,0.092024329411568,0,"P7E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.168555627778380,-0.231149724865984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-0.0464344489023297,0.0636781472653613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.0588617028381716,-0.0807203330764839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.0422240990347284,-0.0579042598768892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,-0.140768360552127,0.193043496917481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-0.144657679981253,0.198377137376763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.0613065347969685,-0.0840730673759432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.0354389295229807,-0.0485993788326817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.092398299944649,-0.126710937461975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-0.129876411555081,0.178106760321348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,-0.0415330849178475,0.056956633712751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-0.0405761139454783,0.0556442860926603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,-0.0165683075482464,0.02272104338342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.201344969927618,-0.276115576889023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0.198718384163154,-0.272513593467911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,-0.0584119497595863,0.080103561618047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
